state,state_po,state_fips,state_cen,state_ic,candidate,party_detailed,writein,candidatevotes,totalvotes,version,party_simplified
ALABAMA,AL,1,63,41,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,849624,2323282,20210113,DEMOCRAT
ALABAMA,AL,1,63,41,"TRUMP, DONALD J.",REPUBLICAN,FALSE,1441170,2323282,20210113,REPUBLICAN
ALABAMA,AL,1,63,41,"JORGENSEN, JO",LIBERTARIAN,FALSE,25176,2323282,20210113,LIBERTARIAN
ALABAMA,AL,1,63,41,,,TRUE,7312,2323282,20210113,OTHER
ALASKA,AK,2,94,81,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,153778,359530,20210113,DEMOCRAT
ALASKA,AK,2,94,81,"TRUMP, DONALD J.",REPUBLICAN,FALSE,189951,359530,20210113,REPUBLICAN
ALASKA,AK,2,94,81,"JORGENSEN, JO",LIBERTARIAN,FALSE,8897,359530,20210113,LIBERTARIAN
ALASKA,AK,2,94,81,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,FALSE,318,359530,20210113,OTHER
ALASKA,AK,2,94,81,"PIERCE, BROCK",INDEPENDENT,FALSE,825,359530,20210113,OTHER
ALASKA,AK,2,94,81,"JANOS, JAMES G. ""JESSE VENTURA""",GREEN,FALSE,2673,359530,20210113,OTHER
ALASKA,AK,2,94,81,"BLANKENSHIP, DON",CONSTITUTION PARTY,FALSE,1127,359530,20210113,OTHER
ALASKA,AK,2,94,81,,,TRUE,1961,359530,20210113,OTHER
ARIZONA,AZ,4,86,61,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,1672143,3387326,20210113,DEMOCRAT
ARIZONA,AZ,4,86,61,"TRUMP, DONALD J.",REPUBLICAN,FALSE,1661686,3387326,20210113,REPUBLICAN
ARIZONA,AZ,4,86,61,"JORGENSEN, JO",LIBERTARIAN,FALSE,51465,3387326,20210113,LIBERTARIAN
ARIZONA,AZ,4,86,61,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,TRUE,190,3387326,20210113,OTHER
ARIZONA,AZ,4,86,61,"CUMMINGS, DANIEL CLYDE",CONSTITUTION PARTY,TRUE,36,3387326,20210113,OTHER
ARIZONA,AZ,4,86,61,"SIMMONS, JADE",INDEPENDENT,TRUE,236,3387326,20210113,OTHER
ARIZONA,AZ,4,86,61,"BODDIE, R. PRESIDENT",INDEPENDENT,TRUE,13,3387326,20210113,OTHER
ARIZONA,AZ,4,86,61,"HAWKINS, HOWIE",GREEN,TRUE,1557,3387326,20210113,OTHER
ARKANSAS,AR,5,71,42,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,FALSE,1713,1219069,20210113,OTHER
ARKANSAS,AR,5,71,42,"BLANKENSHIP, DON",CONSTITUTION PARTY,FALSE,2108,1219069,20210113,OTHER
ARKANSAS,AR,5,71,42,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,423932,1219069,20210113,DEMOCRAT
ARKANSAS,AR,5,71,42,"HAWKINS, HOWIE",GREEN,FALSE,2980,1219069,20210113,OTHER
ARKANSAS,AR,5,71,42,"PIERCE, BROCK",INDEPENDENT,FALSE,2141,1219069,20210113,OTHER
ARKANSAS,AR,5,71,42,"GAMMON, C. L.",INDEPENDENT,FALSE,1475,1219069,20210113,OTHER
ARKANSAS,AR,5,71,42,"WEST, KANYE",INDEPENDENT,FALSE,4099,1219069,20210113,OTHER
ARKANSAS,AR,5,71,42,"COLLINS, PHIL",INDEPENDENT,FALSE,2812,1219069,20210113,OTHER
ARKANSAS,AR,5,71,42,"DE LA FUENTE, ROQUE """"ROCKY""""",INDEPENDENT,FALSE,1321,1219069,20210113,OTHER
ARKANSAS,AR,5,71,42,"JORGENSEN, JO",LIBERTARIAN,FALSE,13133,1219069,20210113,LIBERTARIAN
ARKANSAS,AR,5,71,42,"MYERS, JOHN RICHARD",LIFE AND LIBERTY PARTY,FALSE,1372,1219069,20210113,OTHER
ARKANSAS,AR,5,71,42,"TRUMP, DONALD J.",REPUBLICAN,FALSE,760647,1219069,20210113,REPUBLICAN
ARKANSAS,AR,5,71,42,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,FALSE,1336,1219069,20210113,OTHER
CALIFORNIA,CA,6,93,71,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,11110250,17500881,20210113,DEMOCRAT
CALIFORNIA,CA,6,93,71,"TRUMP, DONALD J.",REPUBLICAN,FALSE,6006429,17500881,20210113,REPUBLICAN
CALIFORNIA,CA,6,93,71,"JORGENSEN, JO",LIBERTARIAN,FALSE,187895,17500881,20210113,LIBERTARIAN
CALIFORNIA,CA,6,93,71,"HAWKINS, HOWIE",GREEN,FALSE,81029,17500881,20210113,OTHER
CALIFORNIA,CA,6,93,71,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN INDEPENDENT,FALSE,60160,17500881,20210113,OTHER
CALIFORNIA,CA,6,93,71,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,FALSE,51037,17500881,20210113,OTHER
CALIFORNIA,CA,6,93,71,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,TRUE,2605,17500881,20210113,OTHER
CALIFORNIA,CA,6,93,71,"JANOS, JAMES G. ""JESSE VENTURA""",INDEPENDENT,TRUE,611,17500881,20210113,OTHER
CALIFORNIA,CA,6,93,71,MARK CHARLES,INDEPENDENT,TRUE,559,17500881,20210113,OTHER
CALIFORNIA,CA,6,93,71,"PIERCE, BROCK",INDEPENDENT,TRUE,185,17500881,20210113,OTHER
CALIFORNIA,CA,6,93,71,JOSEPH KISHORE,INDEPENDENT,TRUE,121,17500881,20210113,OTHER
COLORADO,CO,8,84,62,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,1804352,3279980,20210113,DEMOCRAT
COLORADO,CO,8,84,62,"TRUMP, DONALD J.",REPUBLICAN,FALSE,1364607,3279980,20210113,REPUBLICAN
COLORADO,CO,8,84,62,"JORGENSEN, JO",LIBERTARIAN,FALSE,52460,3279980,20210113,LIBERTARIAN
COLORADO,CO,8,84,62,"HAWKINS, HOWIE",GREEN,FALSE,8986,3279980,20210113,OTHER
COLORADO,CO,8,84,62,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,FALSE,1035,3279980,20210113,OTHER
COLORADO,CO,8,84,62,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,FALSE,636,3279980,20210113,OTHER
